date,value
2016-05-09,10596
2016-05-10,9910
2016-05-11,10930
2016-05-12,12057
2016-05-13,10024
2016-05-14,10100
2016-05-15,12351
2016-05-16,11451
2016-05-17,10041
2016-05-18,11328
2016-05-19,10192
2016-05-20,10260
2016-05-21,11179
2016-05-22,8660
2016-05-23,8953
2016-05-24,10413
2016-05-25,9936
2016-05-26,11591
2016-05-27,10184
2016-05-28,9637
2016-05-29,13147
2016-05-30,11171
2016-05-31,11575
2016-06-01,9835
2016-06-02,10939
2016-06-03,11770
2016-06-04,10299
2016-06-05,12171
2016-06-06,11037
2016-06-07,11443
2016-06-08,11104
2016-06-09,14079
2016-06-10,11867
2016-06-11,10638
2016-06-12,12916
2016-06-13,10483
2016-06-14,12214
2016-06-15,9625
2016-06-16,10393
2016-06-17,12230
2016-06-18,12884
2016-06-19,12205
2016-06-20,11859
2016-06-21,11632
2016-06-22,10211
2016-06-23,11111
2016-06-24,11409
2016-06-25,13214
2016-06-26,12339
2016-06-27,9789
2016-06-28,12269
2016-06-29,11390
2016-06-30,11010
2016-07-01,12523
2016-07-02,12991
2016-07-03,12833
2016-07-04,10667
2016-07-05,11260
2016-07-06,11983
2016-07-07,12709
2016-07-08,10913
2016-07-09,11213
2016-07-10,10053
2016-07-11,9889
2016-07-12,12241
2016-07-13,12833
2016-07-14,11057
2016-07-15,12284
2016-07-16,11448
2016-07-17,10173
2016-07-18,11313
2016-07-19,12655
2016-07-20,10696
2016-07-21,12545
2016-07-22,7451
2016-07-23,11507
2016-07-24,10551
2016-07-25,10012
2016-07-26,10406
2016-07-27,7834
2016-07-28,9879
2016-07-29,10495
2016-07-30,11763
2016-07-31,9291
2016-08-01,8866
2016-08-02,9158
2016-08-03,10782
2016-08-04,10003
2016-08-05,8898
2016-08-06,10075
2016-08-07,9502
2016-08-08,10475
2016-08-09,8399
2016-08-10,8778
2016-08-11,8631
2016-08-12,7278
2016-08-13,9323
2016-08-14,9216
2016-08-15,8845
2016-08-16,8496
2016-08-17,7019
2016-08-18,8155
2016-08-19,8192
2016-08-20,7587
2016-08-21,8304
2016-08-22,8933
2016-08-23,10665
2016-08-24,8566
2016-08-25,8623
2016-08-26,8184
2016-08-27,5934
2016-08-28,8169
2016-08-29,8241
2016-08-30,11095
2016-08-31,7882
2016-09-01,8450
2016-09-02,8026
2016-09-03,6646
2016-09-04,9405
2016-09-05,8923
2016-09-06,8960
2016-09-07,6913
2016-09-08,9684
2016-09-09,6317
2016-09-10,8706
2016-09-11,10635
2016-09-12,6826
2016-09-13,7346
2016-09-14,8159
2016-09-15,7452
2016-09-16,6214
2016-09-17,8180
2016-09-18,6848
2016-09-19,8719
2016-09-20,7078
2016-09-21,10074
2016-09-22,7311
2016-09-23,7902
2016-09-24,9306
2016-09-25,6896
2016-09-26,8692
2016-09-27,10036
2016-09-28,6589
2016-09-29,8792
2016-09-30,8937
2016-10-01,9620
2016-10-02,7256
2016-10-03,7217
2016-10-04,9490
2016-10-05,9284
2016-10-06,9294
2016-10-07,9476
2016-10-08,8313
2016-10-09,9477
2016-10-10,9621
2016-10-11,8484
2016-10-12,11653
2016-10-13,10057
2016-10-14,8133
2016-10-15,10426
2016-10-16,8544
2016-10-17,10734
2016-10-18,11256
2016-10-19,8958
2016-10-20,11176
2016-10-21,10592
2016-10-22,11159
2016-10-23,12525
2016-10-24,10031
2016-10-25,9496
2016-10-26,9408
2016-10-27,9571
2016-10-28,10530
2016-10-29,11105
2016-10-30,11099
2016-10-31,11830
2016-11-01,10922
2016-11-02,12718
2016-11-03,10723
2016-11-04,14369
2016-11-05,11919
2016-11-06,10201
2016-11-07,10004
2016-11-08,11926
2016-11-09,11134
2016-11-10,12313
2016-11-11,12075
2016-11-12,11469
2016-11-13,10588
2016-11-14,9831
2016-11-15,11155
2016-11-16,12758
2016-11-17,12024
2016-11-18,10307
2016-11-19,12042
2016-11-20,12326
2016-11-21,10829
2016-11-22,12098
2016-11-23,12004
2016-11-24,10581
2016-11-25,12397
2016-11-26,12653
2016-11-27,13289
2016-11-28,13260
2016-11-29,10346
2016-11-30,10874
2016-12-01,12615
2016-12-02,12608
2016-12-03,12601
2016-12-04,16595
2016-12-05,12643
2016-12-06,13304
2016-12-07,13066
2016-12-08,12680
2016-12-09,11494
2016-12-10,12755
2016-12-11,10886
2016-12-12,11496
2016-12-13,11161
2016-12-14,11803
2016-12-15,14441
2016-12-16,9379
2016-12-17,12397
2016-12-18,9590
2016-12-19,10908
2016-12-20,12728
2016-12-21,11444
2016-12-22,10016
2016-12-23,10392
2016-12-24,12005
2016-12-25,10251
2016-12-26,11323
2016-12-27,11052
2016-12-28,10148
2016-12-29,13434
2016-12-30,11552
2016-12-31,8290
2017-01-01,10872
2017-01-02,9781
2017-01-03,11524
2017-01-04,9476
2017-01-05,10214
2017-01-06,10882
2017-01-07,11238
2017-01-08,8683
2017-01-09,9645
2017-01-10,9400
2017-01-11,9109
2017-01-12,11935
2017-01-13,10226
2017-01-14,8151
2017-01-15,10690
2017-01-16,12061
2017-01-17,10679
2017-01-18,7543
2017-01-19,8713
2017-01-20,10743
2017-01-21,8304
2017-01-22,9617
2017-01-23,9946
2017-01-24,7838
2017-01-25,8814
2017-01-26,4933
2017-01-27,7532
2017-01-28,8399
2017-01-29,7148
2017-01-30,10548
2017-01-31,6820
2017-02-01,7957
2017-02-02,8593
2017-02-03,10119
2017-02-04,6622
2017-02-05,9699
2017-02-06,8276
2017-02-07,7049
2017-02-08,8747
2017-02-09,8400
2017-02-10,7412
2017-02-11,8190
2017-02-12,7620
2017-02-13,8198
2017-02-14,8839
2017-02-15,9933
2017-02-16,6533
2017-02-17,10569
2017-02-18,5661
2017-02-19,7818
2017-02-20,8706
2017-02-21,8340
2017-02-22,7261
2017-02-23,7767
2017-02-24,7437
2017-02-25,7336
2017-02-26,9080
2017-02-27,8509
2017-02-28,7272
2017-03-01,9209
2017-03-02,8527
2017-03-03,9165
2017-03-04,8979
2017-03-05,7265
2017-03-06,7627
2017-03-07,9238
2017-03-08,9118
2017-03-09,8407
2017-03-10,8621
2017-03-11,10065
2017-03-12,7875
2017-03-13,9296
2017-03-14,8455
2017-03-15,8495
2017-03-16,10136
2017-03-17,9871
2017-03-18,9921
2017-03-19,10577
2017-03-20,9103
2017-03-21,9965
2017-03-22,8844
2017-03-23,9677
2017-03-24,9204
2017-03-25,9550
2017-03-26,10222
2017-03-27,8600
2017-03-28,12168
2017-03-29,8526
2017-03-30,8352
2017-03-31,11276
2017-04-01,10913
2017-04-02,10788
2017-04-03,10870
2017-04-04,10178
2017-04-05,9192
2017-04-06,10436
2017-04-07,9607
2017-04-08,11665
2017-04-09,10392
2017-04-10,9651
2017-04-11,10328
2017-04-12,11281
2017-04-13,10179
2017-04-14,9937
2017-04-15,11284
2017-04-16,11351
2017-04-17,10513
2017-04-18,10619
2017-04-19,11524
2017-04-20,9567
2017-04-21,9672
2017-04-22,10554
2017-04-23,11214
2017-04-24,11894
2017-04-25,13340
2017-04-26,12645
2017-04-27,11468
2017-04-28,11678
2017-04-29,10537
2017-04-30,11755
2017-05-01,11464
2017-05-02,12229
2017-05-03,10878
2017-05-04,12519
2017-05-05,13758
2017-05-06,11809
2017-05-07,12439
2017-05-08,12799
2017-05-09,11501
2017-05-10,12260
2017-05-11,12012
2017-05-12,12116
2017-05-13,11071
2017-05-14,12025
2017-05-15,12587
2017-05-16,13722
2017-05-17,13120
2017-05-18,14538
2017-05-19,11015
2017-05-20,12962
2017-05-21,12112
2017-05-22,14493
2017-05-23,10867
2017-05-24,10797
2017-05-25,11051
2017-05-26,9185
2017-05-27,11063
2017-05-28,10741
2017-05-29,11788
2017-05-30,11971
2017-05-31,13763
2017-06-01,12601
2017-06-02,10715
2017-06-03,10274
2017-06-04,11885
2017-06-05,9651
2017-06-06,13371
2017-06-07,12526
2017-06-08,10483
2017-06-09,8924
2017-06-10,12537
2017-06-11,10706
2017-06-12,12258
2017-06-13,8788
2017-06-14,9910
2017-06-15,10562
2017-06-16,10538
2017-06-17,9867
2017-06-18,11079
2017-06-19,8975
2017-06-20,10009
2017-06-21,10247
2017-06-22,10644
2017-06-23,10804
2017-06-24,8523
2017-06-25,7956
2017-06-26,11253
2017-06-27,10043
2017-06-28,8671
2017-06-29,11356
2017-06-30,9560
2017-07-01,10763
2017-07-02,9357
2017-07-03,11678
2017-07-04,11241
2017-07-05,8768
2017-07-06,10165
2017-07-07,9708
2017-07-08,10512
2017-07-09,7649
2017-07-10,9569
2017-07-11,9957
2017-07-12,6520
2017-07-13,7155
2017-07-14,6075
2017-07-15,8149
2017-07-16,9285
2017-07-17,10180
2017-07-18,8423
2017-07-19,10247
2017-07-20,6598
2017-07-21,6174
2017-07-22,8117
2017-07-23,8614
2017-07-24,8086
2017-07-25,5619
2017-07-26,7970
2017-07-27,6492
2017-07-28,8844
2017-07-29,8466
2017-07-30,6888
2017-07-31,7391
2017-08-01,6731
2017-08-02,7924
2017-08-03,9146
2017-08-04,6821
2017-08-05,8615
2017-08-06,7383
2017-08-07,7081
2017-08-08,7919
2017-08-09,6823
2017-08-10,7422
2017-08-11,6673
2017-08-12,10495
2017-08-13,8209
2017-08-14,7359
2017-08-15,8490
2017-08-16,8135
2017-08-17,8045
2017-08-18,9089
2017-08-19,9306
2017-08-20,7807
2017-08-21,7802
2017-08-22,8215
2017-08-23,5837
2017-08-24,6836
2017-08-25,10353
2017-08-26,10746
2017-08-27,8535
2017-08-28,9589
2017-08-29,9335
2017-08-30,12723
2017-08-31,10439
2017-09-01,9011
2017-09-02,8088
2017-09-03,7379
2017-09-04,9623
2017-09-05,8545
2017-09-06,7820
2017-09-07,8826
2017-09-08,8379
2017-09-09,11778
2017-09-10,10887
2017-09-11,9896
2017-09-12,11759
2017-09-13,10152
2017-09-14,9103
2017-09-15,12040
2017-09-16,10935
2017-09-17,9120
2017-09-18,10211
2017-09-19,9463
2017-09-20,8928
2017-09-21,11772
2017-09-22,13024
2017-09-23,9125
2017-09-24,11549
2017-09-25,10161
2017-09-26,10424
2017-09-27,10363
2017-09-28,10101
2017-09-29,11258
2017-09-30,10264
2017-10-01,11644
2017-10-02,11316
2017-10-03,11144
2017-10-04,10394
2017-10-05,10841
2017-10-06,12488
2017-10-07,12228
2017-10-08,10498
2017-10-09,11831
2017-10-10,12652
2017-10-11,9783
2017-10-12,12471
2017-10-13,11054
2017-10-14,12562
2017-10-15,10986
2017-10-16,9759
2017-10-17,9991
2017-10-18,12018
2017-10-19,12286
2017-10-20,10900
2017-10-21,12759
2017-10-22,10004
2017-10-23,11920
2017-10-24,10545
2017-10-25,11212
2017-10-26,12044
2017-10-27,10945
2017-10-28,11504
2017-10-29,13157
2017-10-30,11239
2017-10-31,12912
2017-11-01,10530
2017-11-02,12494
2017-11-03,13559
2017-11-04,8830
2017-11-05,10805
2017-11-06,12416
2017-11-07,11440
2017-11-08,12086
2017-11-09,10871
2017-11-10,11653
2017-11-11,11312
2017-11-12,12848
2017-11-13,11698
2017-11-14,11742
2017-11-15,10785
2017-11-16,10634
2017-11-17,10638
2017-11-18,11567
2017-11-19,10524
2017-11-20,11310
2017-11-21,13385
2017-11-22,11870
2017-11-23,10363
2017-11-24,12124
2017-11-25,10121
2017-11-26,8091
2017-11-27,9253
2017-11-28,8143
2017-11-29,9890
2017-11-30,10258
2017-12-01,12171
2017-12-02,10475
2017-12-03,9743
2017-12-04,10925
2017-12-05,7200
2017-12-06,10059
2017-12-07,10626
2017-12-08,7851
2017-12-09,10922
2017-12-10,9882
2017-12-11,8903
2017-12-12,10088
2017-12-13,11982
2017-12-14,9405
2017-12-15,9415
2017-12-16,8497
2017-12-17,7962
2017-12-18,9913
2017-12-19,7826
2017-12-20,8877
2017-12-21,8157
2017-12-22,9247
2017-12-23,9016
2017-12-24,9806
2017-12-25,7897
2017-12-26,8135
2017-12-27,7237
2017-12-28,7833
2017-12-29,8776
2017-12-30,9191
2017-12-31,7138
2018-01-01,9252
2018-01-02,9803
2018-01-03,8642
2018-01-04,10370
2018-01-05,7165
2018-01-06,6578
2018-01-07,5918
2018-01-08,9832
2018-01-09,8809
2018-01-10,7946
2018-01-11,8341
2018-01-12,6650
2018-01-13,10934
2018-01-14,8156
2018-01-15,8137
2018-01-16,8883
2018-01-17,8600
2018-01-18,8305
2018-01-19,7103
2018-01-20,8636
2018-01-21,10351
2018-01-22,9731
2018-01-23,10056
2018-01-24,7561
2018-01-25,7019
2018-01-26,8091
2018-01-27,8347
2018-01-28,9634
2018-01-29,6333
2018-01-30,10244
2018-01-31,8267
2018-02-01,7994
2018-02-02,7344
2018-02-03,6627
2018-02-04,9657
2018-02-05,8816
2018-02-06,7240
2018-02-07,7296
2018-02-08,8511
2018-02-09,10982
2018-02-10,8734
2018-02-11,7310
2018-02-12,8888
2018-02-13,8926
2018-02-14,6089
2018-02-15,9333
2018-02-16,9195
2018-02-17,10382
2018-02-18,11840
2018-02-19,11049
2018-02-20,9450
2018-02-21,8521
2018-02-22,13014
2018-02-23,10074
2018-02-24,10096
2018-02-25,10127
2018-02-26,10470
2018-02-27,10135
2018-02-28,9696
2018-03-01,9803
2018-03-02,10494
2018-03-03,9955
2018-03-04,9824
2018-03-05,10879
2018-03-06,10516
2018-03-07,12696
2018-03-08,7778
2018-03-09,12335
2018-03-10,12586
2018-03-11,8666
2018-03-12,10805
2018-03-13,10830
2018-03-14,9645
2018-03-15,10457
2018-03-16,10112
2018-03-17,13599
2018-03-18,12669
2018-03-19,13120
2018-03-20,12505
2018-03-21,10327
2018-03-22,11092
2018-03-23,12347
2018-03-24,10328
2018-03-25,12683
2018-03-26,11569
2018-03-27,11434
2018-03-28,12762
2018-03-29,12463
2018-03-30,11515
2018-03-31,13356
2018-04-01,10680
2018-04-02,12726
2018-04-03,12706
2018-04-04,11627
2018-04-05,12391
2018-04-06,10496
2018-04-07,13102
2018-04-08,11763
2018-04-09,11347
2018-04-10,13220
2018-04-11,11100
2018-04-12,10235
2018-04-13,10036
2018-04-14,12606
2018-04-15,10314
2018-04-16,13926
2018-04-17,9289
2018-04-18,13788
2018-04-19,11967
2018-04-20,11557
2018-04-21,10976
2018-04-22,12063
2018-04-23,11491
2018-04-24,12810
2018-04-25,11570
2018-04-26,11559
2018-04-27,10886
2018-04-28,11195
2018-04-29,11573
2018-04-30,9089
2018-05-01,9459
2018-05-02,11904
2018-05-03,11150
2018-05-04,10656
2018-05-05,10829
2018-05-06,11153
2018-05-07,10017
2018-05-08,9657
2018-05-09,10753
2018-05-10,9269
2018-05-11,10858
2018-05-12,8249
2018-05-13,11451
2018-05-14,10707
2018-05-15,10370
2018-05-16,11166
2018-05-17,11908
2018-05-18,11050
2018-05-19,7548
2018-05-20,8145
2018-05-21,8855
2018-05-22,9562
2018-05-23,10077
2018-05-24,8512
2018-05-25,9534
2018-05-26,8332
2018-05-27,8434
2018-05-28,7411
2018-05-29,7923
2018-05-30,7343
2018-05-31,7729
2018-06-01,10101
2018-06-02,7636
2018-06-03,11874
2018-06-04,9249
2018-06-05,8823
2018-06-06,7518
2018-06-07,9336
2018-06-08,7756
2018-06-09,8546
2018-06-10,11427
2018-06-11,8197
2018-06-12,9651
2018-06-13,7391
2018-06-14,8158
2018-06-15,10293
2018-06-16,7386
2018-06-17,10286
2018-06-18,8937
2018-06-19,7392
2018-06-20,8807
2018-06-21,9200
2018-06-22,8766
2018-06-23,6126
2018-06-24,7132
2018-06-25,7703
2018-06-26,7910
2018-06-27,8747
2018-06-28,8220
2018-06-29,6412
2018-06-30,8482
2018-07-01,8772
2018-07-02,8728
2018-07-03,9373
2018-07-04,9099
2018-07-05,8675
2018-07-06,8068
2018-07-07,6189
2018-07-08,8731
2018-07-09,8501
2018-07-10,8616
2018-07-11,6800
2018-07-12,7078
2018-07-13,9685
2018-07-14,8422
2018-07-15,9338
2018-07-16,8607
2018-07-17,8663
2018-07-18,9810
2018-07-19,8124
2018-07-20,8919
2018-07-21,8311
2018-07-22,8409
2018-07-23,8625
2018-07-24,9330
2018-07-25,8557
2018-07-26,10708
2018-07-27,8199
2018-07-28,9120
2018-07-29,8890
2018-07-30,11227
2018-07-31,9801
2018-08-01,10879
2018-08-02,7934
2018-08-03,10113
2018-08-04,10937
2018-08-05,10045
2018-08-06,11301
2018-08-07,9479
2018-08-08,11867
2018-08-09,13011
2018-08-10,9893
2018-08-11,9869
2018-08-12,12222
2018-08-13,12448
2018-08-14,9998
2018-08-15,10194
2018-08-16,10431
2018-08-17,9227
2018-08-18,9806
2018-08-19,9772
2018-08-20,10121
2018-08-21,11066
2018-08-22,11452
2018-08-23,13092
2018-08-24,10093
2018-08-25,12530
2018-08-26,11148
2018-08-27,11399
2018-08-28,12319
2018-08-29,10212
2018-08-30,12065
2018-08-31,11850
2018-09-01,12283
2018-09-02,12079
2018-09-03,14715
2018-09-04,11038
2018-09-05,11198
2018-09-06,11117
2018-09-07,11224
2018-09-08,11149
2018-09-09,13362
2018-09-10,13658
2018-09-11,11283
2018-09-12,10981
2018-09-13,12555
2018-09-14,11333
2018-09-15,12758
2018-09-16,12243
2018-09-17,10178
2018-09-18,13848
2018-09-19,14138
2018-09-20,11236
2018-09-21,11492
2018-09-22,12283
2018-09-23,12321
2018-09-24,12688
2018-09-25,14284
2018-09-26,11631
2018-09-27,10854
2018-09-28,10123
2018-09-29,10865
2018-09-30,11663
2018-10-01,13815
2018-10-02,10997
2018-10-03,11840
2018-10-04,11503
2018-10-05,12898
2018-10-06,14452
2018-10-07,10727
2018-10-08,10720
2018-10-09,12501
2018-10-10,12005
2018-10-11,13341
2018-10-12,11761
2018-10-13,10563
2018-10-14,11636
2018-10-15,12189
2018-10-16,11773
2018-10-17,11326
2018-10-18,11925
2018-10-19,11975
2018-10-20,12157
2018-10-21,11202
2018-10-22,10148
2018-10-23,10449
2018-10-24,11644
2018-10-25,9140
2018-10-26,10486
2018-10-27,9494
2018-10-28,9924
2018-10-29,11347
2018-10-30,9966
2018-10-31,9717
2018-11-01,7954
2018-11-02,10406
2018-11-03,10211
2018-11-04,11960
2018-11-05,8922
2018-11-06,9483
2018-11-07,9449
2018-11-08,10974
2018-11-09,8899
2018-11-10,9283
2018-11-11,9613
2018-11-12,9044
2018-11-13,8224
2018-11-14,8933
2018-11-15,9931
2018-11-16,7355
2018-11-17,8694
2018-11-18,7643
2018-11-19,9868
2018-11-20,6560
2018-11-21,7672
2018-11-22,8754
2018-11-23,10141
2018-11-24,8146
2018-11-25,7525
2018-11-26,10417
2018-11-27,6393
2018-11-28,5466
2018-11-29,8610
2018-11-30,7459
2018-12-01,6818
2018-12-02,8879
2018-12-03,8310
2018-12-04,7332
2018-12-05,6466
2018-12-06,9047
2018-12-07,8780
2018-12-08,7884
2018-12-09,10225
2018-12-10,6733
2018-12-11,6199
2018-12-12,7214
2018-12-13,8007
2018-12-14,8374
2018-12-15,7815
2018-12-16,8553
2018-12-17,6658
2018-12-18,9923
2018-12-19,8126
2018-12-20,9603
2018-12-21,8712
2018-12-22,8891
2018-12-23,9071
2018-12-24,8971
2018-12-25,9254
2018-12-26,10129
2018-12-27,8823
2018-12-28,9493
2018-12-29,8592
2018-12-30,10487
2018-12-31,8008
2019-01-01,11044
2019-01-02,8899
2019-01-03,7296
2019-01-04,9234
2019-01-05,8332
2019-01-06,10228
2019-01-07,8508
2019-01-08,8828
2019-01-09,7169
2019-01-10,8968
2019-01-11,6676
2019-01-12,7760
2019-01-13,10649
2019-01-14,10756
2019-01-15,10400
2019-01-16,8805
2019-01-17,9985
2019-01-18,10115
2019-01-19,8806
2019-01-20,12076
2019-01-21,11401
2019-01-22,10158
2019-01-23,10530
2019-01-24,10822
2019-01-25,8195
2019-01-26,10420
2019-01-27,9970
2019-01-28,9656
2019-01-29,10589
2019-01-30,13151
2019-01-31,11829
2019-02-01,10439
2019-02-02,11874
2019-02-03,12927
2019-02-04,12416
2019-02-05,11435
2019-02-06,10642
2019-02-07,12310
2019-02-08,11995
2019-02-09,12645
2019-02-10,12380
2019-02-11,12921
2019-02-12,11061
2019-02-13,13323
2019-02-14,12015
2019-02-15,14302
2019-02-16,11016
2019-02-17,13955
2019-02-18,12135
2019-02-19,11138
2019-02-20,11359
2019-02-21,11573
2019-02-22,12480
2019-02-23,12610
2019-02-24,11303
2019-02-25,11967
2019-02-26,14570
2019-02-27,14072
2019-02-28,12519
2019-03-01,12035
2019-03-02,12124
2019-03-03,12704
2019-03-04,10726
2019-03-05,11626
2019-03-06,9912
2019-03-07,12370
2019-03-08,12641
2019-03-09,11256
2019-03-10,13693
2019-03-11,10298
2019-03-12,9975
2019-03-13,11962
2019-03-14,12907
2019-03-15,13627
2019-03-16,11009
2019-03-17,12804
2019-03-18,11412
2019-03-19,11198
2019-03-20,12410
